Category,Description,Data.Carbohydrate,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid
BUTTER,"BUTTER,WITH SALT",0.06,717,0.85,81.11
BUTTER,"BUTTER,WHIPPED,WITH SALT",0.06,717,0.85,81.11
BUTTER OIL,"BUTTER OIL,ANHYDROUS",0.0,876,0.28,99.48
CHEESE,"CHEESE,BLUE",2.34,353,21.4,28.74
CHEESE,"CHEESE,BRICK",2.79,371,23.24,29.68
CHEESE,"CHEESE,BRIE",0.45,334,20.75,27.68
CHEESE,"CHEESE,CAMEMBERT",0.46,300,19.8,24.26
CHEESE,"CHEESE,CARAWAY",3.06,376,25.18,29.2
CHEESE,"CHEESE,CHEDDAR",1.28,403,24.9,33.14
CHEESE,"CHEESE,CHESHIRE",4.78,387,23.37,30.6
CHEESE,"CHEESE,COLBY",2.57,394,23.76,32.11
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",3.38,98,11.12,4.3
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",4.61,97,10.69,3.85
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",6.66,72,10.34,0.29
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.66,86,11.83,2.45
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.72,72,12.39,1.02
CHEESE,"CHEESE,CREAM",4.07,342,5.93,34.24
CHEESE,"CHEESE,EDAM",1.43,357,24.99,27.8
CHEESE,"CHEESE,FETA",4.09,264,14.21,21.28
CHEESE,"CHEESE,FONTINA",1.55,389,25.6,31.14
CHEESE,"CHEESE,GJETOST",42.65,466,9.65,29.51
CHEESE,"CHEESE,GOUDA",2.22,356,24.94,27.44
CHEESE,"CHEESE,GRUYERE",0.36,413,29.81,32.34
CHEESE,"CHEESE,LIMBURGER",0.49,327,20.05,27.25
CHEESE,"CHEESE,MONTEREY",0.68,373,24.48,30.28
CHEESE,"CHEESE,MOZZARELLA,WHL MILK",2.19,300,22.17,22.35
CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",2.47,318,21.6,24.64
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",2.77,254,24.26,15.92
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",3.83,302,25.96,20.03
CHEESE,"CHEESE,MUENSTER",1.12,368,23.41,30.04
CHEESE,"CHEESE,NEUFCHATEL",3.59,253,9.15,22.78
CHEESE,"CHEESE,PARMESAN,GRATED",4.06,431,38.46,28.61
CHEESE,"CHEESE,PARMESAN,HARD",3.22,392,35.75,25.83
CHEESE,"CHEESE,PORT DE SALUT",0.57,352,23.78,28.2
CHEESE,"CHEESE,PROVOLONE",2.14,351,25.58,26.62
CHEESE,"CHEESE,RICOTTA,WHOLE MILK",3.04,174,11.26,12.98
CHEESE,"CHEESE,RICOTTA,PART SKIM MILK",5.14,138,11.39,7.91
CHEESE,"CHEESE,ROMANO",3.63,387,31.8,26.94
CHEESE,"CHEESE,ROQUEFORT",2.0,369,21.54,30.64
CHEESE,"CHEESE,SWISS",5.38,380,26.93,27.8
CHEESE,"CHEESE,TILSIT",1.88,340,24.41,25.98
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",1.6,375,22.15,31.25
CHEESE,"CHEESE,PAST PROCESS,PIMENTO",1.73,375,22.13,31.2
CHEESE,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",2.1,334,24.73,25.01
CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",8.32,331,19.66,24.46
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.83,330,18.4,25.18
CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",4.5,323,21.92,24.14
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",8.73,290,16.41,21.23
CREAM,"CREAM,FLUID,HALF AND HALF",4.3,130,2.96,11.5
CREAM,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",3.66,195,2.7,19.31
CREAM,"CREAM,FLUID,LT WHIPPING",2.96,292,2.17,30.91
