Продукт,"Белки, г","Жиры, г","Углеводы, г","Калорийность, Ккал",Цена за 100гр
Горошек зеленый,5.0,0.2,8.3,55,10.42
"Горошек зеленый, консервы",3.1,0.2,6.5,40,10.42
Кедровые орехи,14.0,68.0,13.0,673,112.42
Фасоль (стручок),2.5,0.3,3.0,23,10.42
Майонез «Провансаль»,2.8,67.0,3.7,629,30.93
Майонез столовый молочный,2.4,67.0,3.9,627,30.93
Маргарин низкокалорийный 60% жирности,0.5,60.0,0.7,545,28.24
Маргарин «Здоровье»,0.5,82.0,0.7,743,28.24
Маргарин «Экстра»,0.5,82.0,1.0,744,28.24
Маргарин молочный столовый,0.3,82.0,1.0,743,28.24
Маргарин сливочный,0.3,82.0,1.0,743,28.24
Масло сладко-сливочное «Бутербродное»,1.3,61.5,1.7,566,119.92
Масло сладко-сливочное «Вологодское»,0.5,82.5,0.8,748,119.92
Масло сладко-сливочное несоленое,0.5,82.5,0.8,748,119.92
Каша пшеничная рассыпчатая из крупы «Полтавская»,4.4,3.6,25.7,153,5.51
Крупа гречневая ядрица,12.6,3.3,57.1,308,7.7
Крупа манная,10.3,1.0,70.6,333,7.5
Крупа перловая ячневая,9.3,1.1,66.9,315,5.55
Крупа пшено шлифованное,11.5,3.3,66.5,342,6.42
Мука 1 сорта из муки высшего сорта,10.6,1.3,69.0,330,5.511
Мука высшего сорта,10.8,1.3,69.9,334,5.511
Печенье сахарное из муки 1 сорта,7.4,9.4,73.1,407,30.26
Печенье сахарное из муки высшего сорта,7.5,9.8,74.4,417,30.26
Печенье сдобное из муки высшего сорта,6.4,16.8,68.5,451,30.26
Пряники сырцовые из муки высшего сорта,6.3,2.1,75.6,346,25.9
Рожки к чаю из муки высшего сорта,8.4,5.6,56.8,312,36.18
Сушки простые из муки высшего сорта,10.7,1.2,71.2,339,36.18
Хлопья «Геркулес» овсяные,12.3,6.2,61.8,352,11.11
Глазурь шоколадная,4.9,34.5,52.5,542,147.33
Зефир,0.8,0.1,79.8,326,48.27
Какао велла,15.0,4.5,11.0,147,114.75
Какао тертое,13.5,49.4,13.6,559,114.75
Какао-порошок,24.3,15.0,10.2,289,114.75
Карамель глазированная,1.0,0.8,92.9,378,34.44
Карамель леденцовая,0.0,0.0,95.8,384,34.44
Карамель с молочной начинкой,0.8,1.0,91.2,377,34.44
Карамель с фруктово-ягодной начинкой,0.1,0.1,92.4,371,34.44
Карамель с шоколадно-ореховой начинкой,1.6,8.0,87.1,427,34.44
Конфеты шоколадные,4.0,26.3,59.2,491,147.33
Крахмал картофельный,0.1,0.0,78.2,313,6.91
Мед пчелиный,0.1,0.0,79.4,321,62.69
Пастила,33.8,7.7,32.7,335,48.27
