Название продукта,Цена
"Фарш мясной, кг",527.97
"Пельмени, манты, равиоли, кг",423.34
"Говядина (кроме бескостного мяса), кг",647.92
"Говядина бескостная, кг",901.01
"Свинина (кроме бескостного мяса), кг",389.23
"Куры охлажденные и мороженые, кг",227.29
"Окорочка куриные, кг",273.73
"Баранина (кроме бескостного мяса), кг",813.63
"Свинина бескостная, кг",492.67
"Мясо индейки, кг",562.56
"Колбаса вареная, кг",561.81
"Сосиски, сардельки, кг",535.53
"Колбаса полукопченая и варено-копченая, кг",702.07
"Колбаса сырокопченая, кг",1301.45
"Мясокопчености, кг",900.42
"Кулинарные изделия из птицы, кг",574.42
"Консервы мясные для детского питания, кг",1216.74
"Рыба живая и охлажденная, кг",368.4
"Рыба охлажденная и мороженая разделанная лососевых пород, кг",1370.13
"Филе рыбное, кг",642.98
"Рыба соленая, маринованная, копченая, кг",856.64
"Рыба мороженая разделанная (кроме лососевых пород), кг",391.02
"Рыба мороженая неразделанная, кг",320.6
"Икра лососевых рыб, отечественная, кг",9632.01
"Соленые и копченые деликатесные продукты из рыбы, кг",2569.81
"Креветки мороженые неразделанные, кг",987.66
"Кальмары мороженые, кг",609.72
"Сельдь соленая, кг",384.6
"Филе сельди соленое, кг",673.9
"Масло сливочное, кг",1199.19
"Масло оливковое, л",1716.02
"Маргарин, кг",282.36
"Сметана, кг",360.45
"Кисломолочные продукты, кг",123.79
"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",95.97
"Смеси сухие молочные для детского питания, кг",1320.14
"Сыры плавленые, кг",727.29
"Национальные сыры и брынза, кг",816.01
"Овощи натуральные консервированные, маринованные, кг",281.1
"Консервы овощные для детского питания, кг",704.99
"Консервы томатные, кг",398.61
"Кетчуп, кг",299.14
"Соки фруктовые, л",137.18
"Консервы фруктово-ягодные для детского питания, кг",600.77
"Яйца куриные, 10 шт.",83.16
"Сахар-песок, кг",72.53
"Печенье, кг",302.56
"Пряники, кг",259
"Зефир, пастила, кг",482.74
"Какао, кг",1147.51
"Карамель, кг",344.37
"Конфеты мягкие, глазированные шоколадом, кг",533.15
"Шоколад, кг",1473.3
"Кексы, рулеты, кг",459.62
"Торты, кг",877.7
"Жевательная резинка, упаковка",38.89
"Конфеты шоколадные натуральные и с добавками, кг",1021.18
"Варенье, джем, повидло, кг",476.14
"Мёд пчелиный натуральный, кг",626.89
"Кофе натуральный растворимый, кг",3934.21
"Чай черный байховый, кг",1353.25
"Кофе натуральный в зернах и молотый, кг",1917.06
"Чай черный байховый пакетированный, 25 пакетиков",85.1
"Чай зеленый, кг",1419.7
"Майонез, кг",309.33
"Соль поваренная пищевая, кг",22.5
"Мука пшеничная, кг",55.11
"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",95.82
"Булочные изделия сдобные из муки высшего сорта штучные, кг",361.82
"Бараночные изделия, кг",238.26
"Хлопья из злаков (сухие завтраки), кг",472.01
"Рис шлифованный, кг",129.29
"Крупа манная, кг",74.98
"Пшено, кг",64.18
"Горох и фасоль, кг",104.2
"Крупа гречневая-ядрица, кг",77.01
"Крупы овсяная и перловая, кг",55.49
"Овсяные хлопья ""Геркулес"", кг",111.12
"Вермишель, кг",113.84
"Макаронные изделия из пшеничной муки высшего сорта, кг",117.2
"Картофель, кг",69.14
"Капуста белокочанная свежая, кг",49.82
"Зелень свежая, кг",867.34
"Лук репчатый, кг",61.51
"Свёкла столовая, кг",60.6
"Морковь, кг",71.45
"Чеснок, кг",365.22
"Огурцы свежие, кг",112.83
"Помидоры свежие, кг",176.44
"Овощи замороженные, кг",359.87
"Яблоки, кг",187.05
"Груши, кг",271.31
"Апельсины, кг",165.27
"Виноград, кг",317.67
"Лимоны, кг",243.33
"Сухофрукты, кг",554.82
"Бананы, кг",149.3
"Орехи, кг",1124.19
"Вода минеральная и питьевая, л",54.95
"Мороженое сливочное, кг",891.87
"Грибы свежие, кг",411.87
"Йогурт, кг",321.87
"Консервы рыбные в томатном соусе, кг",430.31
"Консервы рыбные натуральные и с добавлением масла, кг",668.07
"Молоко питьевое цельное пастеризованное более 3,2% жирности, л",119.47
"Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",119.07
"Молоко сгущенное с сахаром, кг",411.85
"Перец сладкий свежий, кг",249.61
"Печень говяжья, свиная, кг",355.1
"Сливки питьевые, л",374.6
"Сырки творожные, глазированные шоколадом, кг",1165.49
"Сыры твердые, полутвердые и мягкие, кг",963.33
"Творог, кг",476.77
"Ягоды замороженные, кг",632.12
