Продукт,"Белки, г","Жиры, г","Углеводы, г","Калорийность, Ккал",Цена за 100гр
"Горошек зеленый, консервы",3.1,0.2,6.5,40,10.42
Кедровые орехи,14.0,68.0,13.0,673,112.42
Фасоль (стручок),2.5,0.3,3.0,23,10.42
Майонез «Провансаль»,2.8,67.0,3.7,629,30.93
Маргарин сливочный,0.3,82.0,1.0,743,28.24
Масло сладко-сливочное несоленое,0.5,82.5,0.8,748,119.92
Каша пшеничная рассыпчатая из крупы «Полтавская»,4.4,3.6,25.7,153,5.51
Крупа гречневая ядрица,12.6,3.3,57.1,308,7.7
Крупа манная,10.3,1.0,70.6,333,7.5
Крупа перловая ячневая,9.3,1.1,66.9,315,5.55
Крупа пшено шлифованное,11.5,3.3,66.5,342,6.42
Печенье сдобное из муки высшего сорта,6.4,16.8,68.5,451,30.26
Пряники сырцовые из муки высшего сорта,6.3,2.1,75.6,346,25.9
Рожки к чаю из муки высшего сорта,8.4,5.6,56.8,312,36.18
Хлопья «Геркулес» овсяные,12.3,6.2,61.8,352,11.11
Зефир,0.8,0.1,79.8,326,48.27
Какао-порошок,24.3,15.0,10.2,289,114.75
Карамель леденцовая,0.0,0.0,95.8,384,34.44
Конфеты шоколадные,4.0,26.3,59.2,491,147.33
Мед пчелиный,0.1,0.0,79.4,321,62.69
Пастила,33.8,7.7,32.7,335,48.27
"Йогурт сладкий 3,2% жирности",4.0,1.5,14.3,90,32.19
"Кефир 3,2% жирности",2.9,2.5,4.0,53,12.379
"Молоко пастеризованное 3,5% жирности",7.1,23.0,27.1,345,11.947
"Молоко пастеризованное 3,2% жирности",4.3,1.0,6.4,52,9.6
"Молоко сгущенное с сахаром 8,5% жирности",7.5,0.2,56.8,259,41.18
Мороженое сливочное,3.6,15.0,20.4,231,89.19
"Сметана 20,0% жирности",2.6,15.0,3.6,162,36.04
"Творог полужирный 9,0% жирности",22.0,0.6,3.3,110,47.68
«Зернистая» сырокопченая колбаса,17.2,12.1,2.2,187,130.15
«Молочная» вареная колбаса,17.2,39.0,0.2,420,56.18
«Сервелат» сырокопченая колбаса,13.0,57.0,0.2,566,130.15
"Баранина 1 кат,",10.3,12.7,3.6,170,81.36
"Говядина 1 кат,",13.6,5.4,3.3,116,64.79
Красное мясо индейки сырое,13.6,45.7,0.0,466,56.26
Печень говяжья,9.9,13.9,13.5,219,35.51
Свинина мясная,11.7,49.3,0.0,491,38.92
"Яблоки в сиропе, консервы",0.0,0.0,1.0,1,18.71
Белокочанная капуста,2.9,4.5,7.4,83,4.98
Грибы сыроежки,3.3,0.5,1.2,22,41.19
Картофель,1.7,0.2,3.4,22,6.91
Лук репка,2.0,0.2,6.3,36,6.15
Морковь,1.8,0.2,3.7,19,7.14
Морковь отварная,1.3,0.1,6.9,35,7.14
Огурцы (грунтовые),0.9,0.2,0.0,5,11.28
Перец сладкий,1.0,0.0,3.0,16,24.96
Помидоры,2.4,4.2,18.9,124,17.64
Чеснок,1.0,0.0,3.0,16,36.52
Сельдь рубленая,17.0,8.5,0.0,145,38.46
"Сом в томатном соусе, консервы",17.2,5.1,0.0,115,43.03
Апельсин,2.8,0.6,66.9,255,16.53
Банан,0.7,0.2,28.7,122,14.93
Груша,0.5,0.2,28.1,120,27.13
Лимон,1.0,0.0,11.0,30,24.33
Виноград,0.6,0.2,70.4,273,31.77
Яйцо,12.7,11.5,0.7,157,8.316
